age	sex	height	sesm	sd	sample
2	f	35.6	0.16	2.565	257
3	f	38.9	0.15	2.062	189
4	f	41.4	0.18	2.546	200
5	f	44.3	0.18	2.395	177
6	f	46.9	0.2	2.661	177
7	f	49.1	0.21	3.021	207
8	f	51.7	0.33	4.702	203
9	f	54	0.18	2.577	205
10	f	56.9	0.21	2.841	183
11	f	59.2	0.21	3.108	219
12	f	61.5	0.25	3.221	166
13	f	63	0.22	2.603	140
14	f	63.6	0.3	3.888	168
15	f	64.1	0.31	3.628	137
16	f	63.8	0.25	3.122	156
17	f	64.2	0.25	2.99	143
18	f	64.2	0.23	2.692	137
19	f	64.3	0.28	3.042	118
20	f	64.2	0.09	2.817	980
2	m	36.2	0.15	2.532	285
3	m	38.9	0.14	1.99	202
4	m	41.8	0.17	2.655	244
5	m	44.8	0.22	3.15	205
6	m	47	0.18	2.501	193
7	m	49.4	0.17	2.493	215
8	m	51.8	0.26	3.768	210
9	m	54.3	0.35	4.824	190
10	m	56	0.25	3.509	197
11	m	59	0.24	3.486	211
12	m	60.9	0.24	3.026	159
13	m	64.5	0.27	3.262	146
14	m	66.3	0.37	4.923	177
15	m	68.4	0.35	4.427	160
16	m	68.9	0.2	2.646	175
17	m	69.3	0.27	3.702	188
18	m	69.4	0.21	2.502	142
19	m	70	0.32	4.281	179
20	m	69.4	0.13	3.889	895
